protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_cache_hits,route_cache_misses,avg_distance_m,avg_rssi_dbm,min_rssi_dbm,avg_snr_db,min_snr_db,avg_sinr_db,min_sinr_db,obstacle_loss_events,interference_fail_count,node_failures_count,node_recoveries_count,energy_depletions_count,total_energy_consumed_j,avg_remaining_energy_j,min_remaining_energy_j,energy_per_delivery_j
meshcore-like,1,1800.0,227,227,0,0.480176,0.0,0.342595,1099,119,980,271.215616,2.488217,7285,35406,18767,1577,0,98,129,1132.16,-107.85,-133.18,9.18,-16.14,7.12,-16.14,16508,18767,1,1,0,633.4214,134.1645,133.3853,5.811206
meshcore-like,2,1800.0,258,258,0,0.437984,0.0,0.334141,1072,119,953,264.552448,2.341172,7368,34314,19656,1707,0,99,159,1206.12,-104.5,-133.41,12.53,-16.37,9.49,-16.37,13388,19656,1,1,0,620.1248,134.4969,133.8169,5.48783
meshcore-like,3,1800.0,269,269,0,0.30855,0.0,0.330036,851,97,754,210.013184,2.530279,5961,27065,14809,1515,0,82,187,1224.09,-102.45,-133.16,14.58,-16.13,12.01,-16.13,11045,14809,1,1,0,506.6567,137.3336,136.6515,6.104297
